league_code,team,city,iso2
I1,Atalanta,Bergamo,IT
I1,Bologna,Bologna,IT
I1,Cagliari,Cagliari,IT
I1,Como,Como,IT
I1,Fiorentina,Florence,IT
I1,Frosinone,Frosinone,IT
I1,Genoa,Genoa,IT
I1,Juventus,Turin,IT
I1,Lazio,Rome,IT
I1,Lecce,Lecce,IT
I1,Monza,Monza,IT
I1,Napoli,Naples,IT
I1,Parma,Parma,IT
I1,Roma,Rome,IT
I1,Sassuolo,Reggio Emilia,IT
I1,Torino,Turin,IT
I1,Udinese,Udine,IT
I1,Venezia,Venice,IT
N1,Ajax,Amsterdam,NL
N1,Cambuur,Leeuwarden,NL
N1,Excelsior,Rotterdam,NL
N1,Feyenoord,Rotterdam,NL
N1,Go Ahead Eagles,Deventer,NL
N1,Groningen,Groningen,NL
N1,Heerenveen,Heerenveen,NL
N1,Sparta Rotterdam,Rotterdam,NL
N1,Telstar,Velsen,NL
N1,Twente,Enschede,NL
N1,Utrecht,Utrecht,NL
N1,Willem II,Tilburg,NL
SC0,Aberdeen,Aberdeen,GB
SC0,Celtic,Glasgow,GB
SC0,Dundee,Dundee,GB
SC0,Dundee United,Dundee,GB
SC0,Falkirk,Falkirk,GB
SC0,Hibernian,Edinburgh,GB
SC0,Kilmarnock,Kilmarnock,GB
SC0,Motherwell,Motherwell,GB
SC0,Rangers,Glasgow,GB
SC0,St Johnstone,Perth,GB
SC0,St Mirren,Paisley,GB
D1,Union Berlin,Berlin,DE
D1,Werder Bremen,Bremen,DE
D1,RB Leipzig,Leipzig,DE
D1,Bayern Munich,Munich,DE
D1,Schalke 04,Gelsenkirchen,DE
E0,Arsenal,London,GB
E0,Aston Villa,Birmingham,GB
E0,Bournemouth,Bournemouth,GB
E0,Brentford,London,GB
E0,Brighton,Brighton and Hove,GB
E0,Chelsea,London,GB
E0,Coventry,Coventry,GB
E0,Crystal Palace,London,GB
E0,Everton,Liverpool,GB
E0,Fulham,London,GB
E0,Hull,Kingston upon Hull,GB
E0,Ipswich,Ipswich,GB
E0,Leeds,Leeds,GB
E0,Liverpool,Liverpool,GB
E0,Man City,Manchester,GB
E0,Man United,Manchester,GB
E0,Newcastle,Newcastle upon Tyne,GB
E0,Nott'm Forest,Nottingham,GB
E0,Sunderland,Sunderland,GB
E0,Tottenham,London,GB
IRL,Bohemians,Dublin,IE
IRL,Derry City,Derry,GB
IRL,Dundalk,Dundalk,IE
IRL,Shamrock Rovers,Dublin,IE
IRL,Shelbourne,Dublin,IE
IRL,Sligo Rovers,Sligo,IE
IRL,Waterford,Waterford,IE
JPN,Mito,Mito,JP
JPN,FC Tokyo,Tokyo,JP
JPN,Machida,Machida,JP
JPN,Kyoto,Kyoto,JP
JPN,Gamba Osaka,Osaka,JP
JPN,Cerezo Osaka,Osaka,JP
JPN,Okayama,Okayama,JP
SWZ,Basel,Basel,CH
SWZ,Grasshoppers,Zurich,CH
SWZ,Zurich,Zurich,CH
SWZ,Lausanne,Lausanne,CH
SWZ,Lugano,Lugano,CH
SWZ,Luzern,Lucerne,CH
SWZ,Servette,Geneva,CH
SWZ,Sion,Sion,CH
SWZ,St. Gallen,St. Gallen,CH
SWZ,Thun,Thun,CH
SWZ,Vaduz,Vaduz,LI
SWZ,Young Boys,Bern,CH
USA,CF Montreal,Montreal,CA
USA,Charlotte,Charlotte,US
USA,Chicago Fire,Chicago,US
USA,Colorado Rapids,Denver,US
USA,Columbus Crew,Columbus,US
USA,FC Cincinnati,Cincinnati,US
USA,FC Dallas,Dallas,US
USA,Houston Dynamo,Houston,US
USA,Inter Miami,Miami,US
USA,Los Angeles FC,Los Angeles,US
USA,Minnesota United,Minneapolis,US
USA,Nashville SC,Nashville,US
USA,New England Revolution,Boston,US
USA,New York Red Bulls,New York,US
USA,Orlando City,Orlando,US
USA,Philadelphia Union,Philadelphia,US
USA,Portland Timbers,Portland,US
USA,Real Salt Lake,Salt Lake City,US
USA,San Diego FC,San Diego,US
USA,San Jose Earthquakes,San Jose,US
USA,Seattle Sounders,Seattle,US
USA,Sporting Kansas City,Kansas City,US
USA,St. Louis City,St. Louis,US
USA,Toronto FC,Toronto,CA
USA,Vancouver Whitecaps,Vancouver,CA
IRL,Drogheda,Drogheda,IE
IRL,Galway,Galway,IE
IRL,St. Patricks,Dublin,IE
JPN,Kashima Antlers,Kashima,JP
JPN,Urawa Reds,Saitama,JP
JPN,Chiba,Chiba,JP
JPN,Kashiwa Reysol,Kashiwa,JP
JPN,Verdy,Tokyo,JP
JPN,Kawasaki Frontale,Kawasaki,JP
JPN,Yokohama F. Marinos,Yokohama,JP
JPN,Shimizu S-Pulse,Shizuoka,JP
JPN,Nagoya Grampus,Nagoya,JP
JPN,Vissel Kobe,Kobe,JP
JPN,Sanfrecce Hiroshima,Hiroshima,JP
JPN,Avispa Fukuoka,Fukuoka,JP
JPN,V-Varen Nagasaki,Nagasaki,JP
USA,Atlanta Utd,Atlanta,US
USA,Austin FC,Austin,US
USA,DC United,Washington,US
USA,New York City,New York,US
USA,Los Angeles Galaxy,Los Angeles,US
D1,Augsburg,Augsburg,DE
D1,Dortmund,Dortmund,DE
D1,Elversberg,Spiesen-Elversberg,DE
D1,Ein Frankfurt,Frankfurt,DE
D1,Freiburg,Freiburg im Breisgau,DE
D1,Hamburg,Hamburg,DE
D1,Hoffenheim,Sinsheim,DE
D1,FC Koln,Cologne,DE
D1,Leverkusen,Leverkusen,DE
D1,Mainz,Mainz,DE
D1,M'gladbach,Monchengladbach,DE
D1,Paderborn,Paderborn,DE
D1,Stuttgart,Stuttgart,DE
I1,Inter,Milan,IT
I1,Milan,Milan,IT
N1,Den Haag,The Hague,NL
N1,AZ Alkmaar,Alkmaar,NL
