league_code,wiki_team,matched_raw_team,city,match_score
SP1,Alavés,Alaves,Vitoria-Gasteiz,83.33333333333334
SP1,Athletic Bilbao,Ath Bilbao,Bilbao,85.5
SP1,Atlético Madrid,Ath Madrid,Madrid,85.5
SP1,Barcelona,Barcelona,Barcelona,100.0
SP1,Celta Vigo,Celta,Vigo,90.0
SP1,Deportivo A Coruña,La Coruna,A Coruña,67.5
SP1,Elche,Elche,Elche,100.0
SP1,Espanyol,Espanol,Cornellà de Llobregat,93.33333333333333
SP1,Getafe,Getafe,Getafe,100.0
SP1,Levante,Levante,Valencia,100.0
SP1,Málaga,Malaga,Málaga,83.33333333333334
SP1,Osasuna,Osasuna,Pamplona,100.0
SP1,Racing Santander,Santander,Santander,90.0
SP1,Rayo Vallecano,Vallecano,Madrid,90.0
SP1,Real Betis,Betis,Seville,90.0
SP1,Real Madrid,Real Madrid,Madrid,100.0
SP1,Real Sociedad,Sociedad,San Sebastián,90.0
SP1,Sevilla,Sevilla,Seville,100.0
SP1,Valencia,Valencia,Valencia,100.0
SP1,Villarreal,Villarreal,Villarreal,100.0
F1,Angers,Angers,Angers,100.0
F1,Auxerre,Auxerre,Auxerre,100.0
F1,Brest,Brest,Brest,100.0
F1,Le Havre,Le Havre,Le Havre,100.0
F1,Le Mans,Le Mans,Le Mans,100.0
F1,Lens,Lens,Lens,100.0
F1,Lille,Lille,Villeneuve-d'Ascq,100.0
F1,Lorient,Lorient,Lorient,100.0
F1,Lyon,Lyon,Décines-Charpieu,100.0
F1,Marseille,Marseille,Marseille,100.0
F1,Monaco,Monaco,Monaco,100.0
F1,Nice,Nice,Nice,100.0
F1,Paris FC,Paris FC,Paris,100.0
F1,Paris Saint-Germain,Paris SG,Paris,85.5
F1,Rennes,Rennes,Rennes,100.0
F1,Strasbourg,Strasbourg,Strasbourg,100.0
F1,Toulouse,Toulouse,Toulouse,100.0
F1,Troyes,Troyes,Troyes,100.0
B1,Anderlecht,Anderlecht,"Anderlecht, Brussels",100.0
B1,Antwerp,Antwerp,Antwerp,100.0
B1,Beveren,Beveren,Beveren,100.0
B1,Cercle Brugge,Cercle Brugge,Bruges,100.0
B1,Charleroi,Charleroi,Charleroi,100.0
B1,Club Brugge,Club Brugge,Bruges,100.0
B1,Genk,Genk,Genk,100.0
B1,Gent,Gent,Ghent,100.0
B1,Kortrijk,Kortrijk,Kortrijk,100.0
B1,La Louvière,RAAL La Louviere,La Louvière,74.07407407407408
B1,Lommel SK,Lommel SK,Lommel,100.0
B1,Mechelen,Mechelen,Mechelen,100.0
B1,OH Leuven,Oud-Heverlee Leuven,Leuven,85.5
B1,Sint-Truiden,St Truiden,Sint-Truiden,81.81818181818181
B1,Standard Liège,Standard,Liège,90.0
B1,Union SG,Gent,"Forest, Brussels",42.75
B1,Westerlo,Westerlo,Westerlo,100.0
B1,Zulte Waregem,Waregem,Waregem,90.0
P1,Académico de Viseu↑,Academico Viseu,Viseu,82.35294117647058
P1,Alverca,Alverca,Alverca do Ribatejo,100.0
P1,Arouca,Arouca,Arouca,100.0
P1,Benfica,Benfica,Lisbon,100.0
P1,Braga,Sp Braga,Braga,90.0
P1,Casa Pia,Casa Pia,Lisbon,100.0
P1,Estoril Praia,Estoril,Estoril,90.0
P1,Estrela da Amadora,Estrela,Amadora,90.0
P1,Famalicão,Famalicao,Vila Nova de Famalicão,88.88888888888889
P1,Gil Vicente,Gil Vicente,Barcelos,100.0
P1,Marítimo↑,Maritimo,Funchal,82.35294117647058
P1,Moreirense,Moreirense,Guimarães,100.0
P1,Nacional,Nacional,Funchal,100.0
P1,Porto,Porto,Porto,100.0
P1,Rio Ave,Rio Ave,Vila do Conde,100.0
P1,Santa Clara,Santa Clara,Ponta Delgada,100.0
P1,Sporting CP,Porto,Lisbon,54.0
P1,Vitória de Guimarães,Guimaraes,Guimarães,80.0
T1,Alanyaspor,Alanyaspor,Alanya,100.0
T1,Amedspor,Amedspor,Diyarbakır,100.0
T1,Başakşehir,Balikesirspor,Başakşehir,52.17391304347826
T1,Beşiktaş,Besiktas,Beşiktaş,75.0
T1,Çorum,Corum,Çorum,80.0
T1,Erzurumspor,Erzurumspor,Erzurum,100.0
T1,Eyüpspor,Eyupspor,Eyüpsultan,87.5
T1,Fenerbahçe,Fenerbahce,Kadıköy,90.0
T1,Galatasaray,Galatasaray,Sarıyer,100.0
T1,Gaziantep,Gaziantep,Gaziantep,100.0
T1,Gençlerbirliği,Genclerbirligi,Yenimahalle,85.71428571428572
T1,Göztepe,Goztep,Göztepe,76.92307692307692
T1,Kasımpaşa,Kasimpasa,Kasımpaşa,77.77777777777779
T1,Kocaelispor,Kocaelispor,İzmit,100.0
T1,Konyaspor,Konyaspor,Konya,100.0
T1,Rizespor,Rizespor,Rize,100.0
T1,Samsunspor,Samsunspor,Samsun,100.0
T1,Trabzonspor,Trabzonspor,Trabzon,100.0
G1,AEK Athens,AEK,Athens,90.0
G1,A.E. Kifisia,Kifisia,Athens,90.0
G1,Aris,Aris,Thessaloniki,100.0
G1,Asteras Tripolis,Asteras Tripolis,Tripoli,100.0
G1,Atromitos,Atromitos,Athens,100.0
