league_code,your_name,lat,lon,matched_display
B1,Mechelen,51.0281381,4.4803453,"Mechelen, Antwerpen, Vlaanderen, België / Belgique / Belgien"
B1,Mouscron,50.7436672,3.2142729,"Mouscron, Tournai-Mouscron, Hainaut, Wallonie, België / Belgique / Belgien"
B1,Club Brugge,51.3269146,3.189557,"Club Brugge, Veerbootstraat, Stationswijk, Zeebrugge, Lissewege, Brugge, West-Vlaanderen, Vlaanderen, 8380, België / Belgique / Belgien"
B1,Harelbeke,50.857512,3.3113699,"Harelbeke, Kortrijk, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
B1,Gent,51.045991,3.6876201,"Gent Rugby Football Club/ Ghent Lacrosse, 18, Strandlaan, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien"
B1,Anderlecht,50.8390983,4.3296526,"Anderlecht, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, België / Belgique / Belgien"
B1,Antwerp,51.2211097,4.3997081,"Antwerpen, Vlaanderen, België / Belgique / Belgien"
B1,Charleroi,50.509102,4.3598954,"Buvette club de Football Pont-à-Celles, Rue Notre-Dame des Grâces, Pont-à-Celles, Charleroi, Hainaut, Wallonie, 6230, België / Belgique / Belgien"
B1,Lokeren,51.1483816,3.944247,"Lokeren, Sint-Niklaas, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
B1,Germinal,-21.0876869,-44.5778636,"Povoado do Germinal, Mercês de Água Limpa, São Tiago, Minas Gerais, Região Sudeste, Brasil"
B1,Heusden Zolder,51.0327567,5.2797107,"Heusden-Zolder, Hasselt, Limburg, Vlaanderen, 3550, België / Belgique / Belgien"
B1,FC Brussels,50.8467372,4.352493,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
B1,Dender,50.8087006,3.9727646,"Dendre/Dender, Aalst, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
B1,Tubize,50.69302,4.204696,"Tubize, Nivelles, Brabant wallon, Wallonie, 1480, België / Belgique / Belgien"
B1,Kortrijk,50.8276429,3.2659884,"Kortrijk, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
B1,Eupen,50.6305665,6.0312717,"Eupen, Verviers, Liège, Wallonie, België / Belgique / Belgien"
B1,Oud-Heverlee Leuven,50.8376275,4.6629253,"Oud-Heverlee, Leuven, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien"
B1,Waasland-Beveren,51.2121816,4.2595951,"HVZ Waasland - post Beveren, 5;5A, Gravendreef, Cortewallewijk, Beveren, Beveren-Kruibeke-Zwijndrecht, Sint-Niklaas, Oost-Vlaanderen, Vlaanderen, 9120, België / Belgique / Belgien"
B1,Mouscron-Peruwelz,50.5333211,3.5636807,"Péruwelz, Tournai-Mouscron, Hainaut, Wallonie, België / Belgique / Belgien"
B1,Seraing,50.6152381,5.5089437,"Seraing, Liège, Wallonie, 4100, België / Belgique / Belgien"
B1,RWD Molenbeek,,,
D1,Bayern Munich,48.1192337,11.4675221,"München Rugby Football Club, 11, Ludwig-Hunger-Straße, Blumenau, Hadern, München, Bayern, 81375, Deutschland"
D1,Hamburg,53.5501721,10.0013165,"Hamburg, Deutschland"
D1,Kaiserslautern,49.4432174,7.7689951,"Kaiserslautern, Rheinland-Pfalz, Deutschland"
D1,Leverkusen,51.0324743,6.9881194,"Leverkusen, Nordrhein-Westfalen, Deutschland"
D1,Werder Bremen,53.0578312,8.8524088,"Karl-Carstens-Brücke, Habenhauser Deichweg, Habenhausen, Obervieland, Bremen-Süd, Bremen, 28279, Deutschland"
D1,Schalke 04,51.5228667,7.0874533,"Schalke, Gelsenkirchen-Mitte, Gelsenkirchen, Nordrhein-Westfalen, Deutschland"
D1,Bochum,51.4818111,7.2196635,"Bochum, Nordrhein-Westfalen, Deutschland"
D1,Wolfsburg,52.4205588,10.7861682,"Wolfsburg, Niedersachsen, Deutschland"
D1,Hansa Rostock,54.1117333,12.0866089,"Nordland Hansa, Ortsbeirat 7 : Schmarl, Rostock, Mecklenburg-Vorpommern, 18069, Deutschland"
D1,M'gladbach,51.1955828,6.4314361,"B&M Frisör, Alter Markt, Gladbach, Nord, Mönchengladbach, Nordrhein-Westfalen, 41061, Deutschland"
D1,Bielefeld,52.0191005,8.531007,"Bielefeld, Nordrhein-Westfalen, Deutschland"
D1,Duisburg,51.434999,6.759562,"Duisburg, Nordrhein-Westfalen, Deutschland"
D1,Aachen,50.776351,6.083862,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
D1,Karlsruhe,49.0068705,8.4034195,"Karlsruhe, Baden-Württemberg, Deutschland"
D1,Augsburg,48.3690341,10.8979522,"Augsburg, Bayern, Deutschland"
D1,Fortuna Dusseldorf,51.2268806,6.813393,"Fortunastraße, Grafental, Flingern Nord, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40235, Deutschland"
D1,Braunschweig,52.2646577,10.5236066,"Braunschweig, Niedersachsen, Deutschland"
D1,Paderborn,51.7177044,8.752653,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland"
D1,Ingolstadt,48.7630165,11.4250395,"Ingolstadt, Bayern, Deutschland"
D1,RB Leipzig,51.3443163,12.3403113,"RasenBallsport Leipzig e. V., Cottaweg, Altlindenau, Altwest, Leipzig, Sachsen, 04177, Deutschland"
D1,Union Berlin,40.8775124,-76.9866127,"New Berlin, Union County, Pennsylvania, 17855, United States"
D1,Heidenheim,48.6767637,10.152923,"Heidenheim an der Brenz, VVG der Stadt Heidenheim an der Brenz, Landkreis Heidenheim, Baden-Württemberg, Deutschland"
D1,Holstein Kiel,54.3227085,10.135555,"Kiel, Schleswig-Holstein, Deutschland"
