league_code,Home,n
ARG,Aldosivi,136
ARG,All Boys,38
ARG,Argentinos Jrs,221
ARG,Arsenal Sarandi,175
ARG,Atl. Rafaela,86
ARG,Atl. Tucuman,177
ARG,Banfield,202
ARG,Barracas Central,91
ARG,Belgrano,184
ARG,Boca Juniors,250
ARG,Central Cordoba,127
ARG,Chacarita Juniors,13
ARG,Colon Santa FE,152
ARG,Colon Santa Fe,33
ARG,Crucero del Norte,15
ARG,Defensa y Justicia,200
ARG,Dep. Riestra,51
ARG,Estudiantes L.P.,245
ARG,Estudiantes Rio Cuarto,13
ARG,Gimnasia L.P.,220
ARG,Gimnasia Mendoza,12
ARG,Godoy Cruz,227
ARG,Huracan,192
ARG,Ind. Rivadavia,50
ARG,Independiente,224
ARG,Instituto,69
ARG,Lanus,240
ARG,Newells Old Boys,239
ARG,Nueva Chicago,15
ARG,Olimpo Bahia Blanca,80
ARG,Patronato,105
ARG,Platense,109
ARG,Quilmes,86
ARG,Racing Club,245
ARG,River Plate,247
ARG,Rosario Central,224
ARG,San Lorenzo,243
ARG,San Martin S.J.,99
ARG,San Martin T.,13
ARG,Sarmiento Junin,147
ARG,Talleres Cordoba,168
ARG,Temperley,52
ARG,Tigre,204
ARG,Union de Santa Fe,210
ARG,Velez Sarsfield,241
AUT,A. Klagenfurt,65
AUT,A. Lustenau,36
AUT,Admira,172
AUT,Altach,203
AUT,Austria Vienna,244
AUT,BW Linz,48
AUT,Grazer AK,34
AUT,Grodig,54
AUT,Hartberg,134
AUT,LASK,149
AUT,Mattersburg,104
AUT,Neustadt,55
AUT,Ried,157
AUT,SK Rapid,242
AUT,Salzburg,239
AUT,St. Polten,86
AUT,Sturm Graz,240
AUT,Tirol,117
AUT,Wacker Innsbruck,52
AUT,Wolfsberger AC,243
BRA,America MG,95
BRA,Athletico-PR,241
BRA,Atletico GO,114
BRA,Atletico-MG,278
BRA,Avai,76
BRA,Bahia,223
BRA,Botafogo RJ,241
BRA,Bragantino,127
BRA,CSA,19
BRA,Ceara,114
BRA,Chapecoense-SC,146
BRA,Corinthians,280
BRA,Coritiba,185
BRA,Criciuma,57
BRA,Cruzeiro,223
BRA,Cuiaba,76
BRA,Figueirense,76
BRA,Flamengo RJ,279
BRA,Fluminense,280
BRA,Fortaleza,133
BRA,Goias,133
BRA,Gremio,260
BRA,Internacional,261
BRA,Joinville,19
BRA,Juventude,76
BRA,Mirassol,33
BRA,Nautico,38
BRA,Palmeiras,260
BRA,Parana,19
BRA,Ponte Preta,95
BRA,Portuguesa,38
BRA,Remo,13
BRA,Santa Cruz,19
BRA,Santos,261
BRA,Sao Paulo,278
BRA,Sport Recife,171
BRA,Vasco,203
BRA,Vitoria,146
CHN,Beijing Guoan,186
CHN,Beijing Renhe,60
CHN,Cangzhou,58
CHN,Changchun Yatai,148
CHN,Chengdu Rongcheng,76
CHN,Chongqing Liangjiang Athletic,96
CHN,Chongqing Tonglianglong,13
CHN,Dalian Pro,54
CHN,Dalian Yifang F.C.,45
CHN,Dalian Yingbo,28
CHN,Guangzhou City,28
CHN,Guangzhou Evergrande,100
CHN,Guangzhou FC,28
CHN,Guangzhou R&F,100
CHN,Guizhou Zhicheng,30
CHN,Hangzhou Greentown,45
CHN,Hebei,98
CHN,Henan Songshan Longmen,186
CHN,Jiangsu Suning,100
CHN,Liaoning,60
CHN,Liaoning Tieren,13
CHN,Meizhou Hakka,62
