league_code,HomeTeam,n
B1,Aalst,34
B1,Anderlecht,416
B1,Antwerp,210
B1,Beerschot VA,52
B1,Bergen,130
B1,Beveren,106
B1,Cercle Brugge,315
B1,Charleroi,397
B1,Club Brugge,415
B1,Dender,71
B1,Eupen,143
B1,FC Brussels,68
B1,Genk,413
B1,Gent,414
B1,Germinal,196
B1,Harelbeke,17
B1,Heusden Zolder,2
B1,Kortrijk,271
B1,Lierse,177
B1,Lokeren,286
B1,Lommel,16
B1,Lommel SK,3
B1,Louvieroise,85
B1,Mechelen,330
B1,Molenbeek,17
B1,Mouscron,214
B1,Mouscron-Peruwelz,30
B1,Oostende,173
B1,Oud-Heverlee Leuven,174
B1,RAAL La Louviere,21
B1,RWD Molenbeek,18
B1,Roeselare,82
B1,Seraing,34
B1,St Truiden,348
B1,St. Gilloise,97
B1,Standard,414
B1,Tubize,17
B1,Waasland-Beveren,136
B1,Waregem,303
B1,Westerlo,306
D1,Aachen,17
D1,Augsburg,257
D1,Bayern Munich,431
D1,Bielefeld,132
D1,Bochum,191
D1,Braunschweig,17
D1,Cottbus,97
D1,Darmstadt,51
D1,Dortmund,430
D1,Duisburg,34
D1,Ein Frankfurt,363
D1,Elversberg,2
D1,FC Koln,296
D1,Fortuna Dusseldorf,51
D1,Freiburg,331
D1,Greuther Furth,34
D1,Hamburg,310
D1,Hannover,257
D1,Hansa Rostock,88
D1,Heidenheim,51
D1,Hertha,344
D1,Hoffenheim,308
D1,Holstein Kiel,17
D1,Ingolstadt,34
D1,Kaiserslautern,125
D1,Karlsruhe,34
D1,Leverkusen,427
D1,M'gladbach,394
D1,Mainz,342
D1,Munich 1860,53
D1,Nurnberg,200
D1,Paderborn,35
D1,RB Leipzig,172
D1,Schalke 04,361
D1,St Pauli,68
D1,Stuttgart,394
D1,Union Berlin,121
D1,Unterhaching,17
D1,Werder Bremen,411
D1,Wolfsburg,427
E0,Arsenal,496
E0,Aston Villa,439
E0,Birmingham,133
E0,Blackburn,209
E0,Blackpool,19
E0,Bolton,209
E0,Bournemouth,173
E0,Bradford,19
E0,Brentford,97
E0,Brighton,173
E0,Burnley,190
E0,Cardiff,38
E0,Charlton,133
E0,Chelsea,496
E0,Coventry,21
E0,Crystal Palace,268
E0,Derby,57
E0,Everton,496
E0,Fulham,363
E0,Huddersfield,38
E0,Hull,97
E0,Ipswich,59
E0,Leeds,154
E0,Leicester,247
