league_code,team
ARG,Racing Club
ARG,Colon Santa FE
ARG,Quilmes
ARG,Godoy Cruz
ARG,Lanus
ARG,Belgrano
ARG,Argentinos Jrs
ARG,Union de Santa Fe
ARG,Atl. Rafaela
ARG,Gimnasia L.P.
ARG,Olimpo Bahia Blanca
ARG,Defensa y Justicia
ARG,Nueva Chicago
ARG,Temperley
ARG,Patronato
ARG,Talleres Cordoba
ARG,Central Cordoba
ARG,Ind. Rivadavia
AUT,Mattersburg
AUT,SK Rapid
AUT,Admira
AUT,Wolfsberger AC
AUT,Austria Vienna
AUT,Neustadt
AUT,Salzburg
AUT,Ried
AUT,Grodig
AUT,Altach
AUT,St. Polten
AUT,Hartberg
AUT,A. Klagenfurt
AUT,A. Lustenau
AUT,BW Linz
BRA,Figueirense
BRA,Botafogo RJ
BRA,Corinthians
BRA,Internacional
BRA,Bahia
BRA,Cruzeiro
BRA,Vasco
BRA,Portuguesa
BRA,Atletico-MG
BRA,Santos
BRA,Gremio
BRA,Vitoria
BRA,Criciuma
BRA,Avai
BRA,Joinville
BRA,Santa Cruz
BRA,Parana
BRA,Ceara
BRA,CSA
BRA,Bragantino
BRA,Cuiaba
BRA,Juventude
BRA,Mirassol
IRL,Derry City
IRL,Shelbourne
IRL,Cork City
IRL,Dundalk
IRL,Shamrock Rovers
IRL,Longford
IRL,Athlone
IRL,Galway
IRL,Treaty United
JPN,Sagan Tosu
JPN,Hokkaido Consadole Sapporo
JPN,Kawasaki Frontale
JPN,Kashima Antlers
JPN,Shimizu S-Pulse
JPN,Iwata
JPN,FC Tokyo
JPN,Shonan Bellmare
JPN,Yamaga
JPN,Yokohama FC
JPN,Kumamoto
JPN,Okayama
JPN,Verdy
JPN,Mito
JPN,Chiba
MEX,Chiapas
MEX,Cruz Azul
MEX,Toluca
MEX,Club America
MEX,Pachuca
MEX,Atl. San Luis
MEX,Guadalajara Chivas
MEX,Dorados de Sinaloa
MEX,Necaxa
MEX,Lobos BUAP
MEX,Juarez
NOR,Honefoss
NOR,Odd
NOR,Tromso
NOR,Valerenga
NOR,Brann
NOR,Haugesund
NOR,Sogndal
NOR,Viking
NOR,Ull/Kisa
NOR,Ranheim
NOR,Jerv
NOR,Kristiansund
NOR,Ham-Kam
NOR,Kongsvinger
NOR,KFUM Oslo
POL,Pogon Szczecin
POL,Piast Gliwice
POL,Jagiellonia
POL,Wisla
POL,Legia
POL,Lechia Gdansk
POL,Zaglebie
POL,Polonia Warszawa
POL,GKS Belchatow
POL,Ruch
POL,Zawisza
POL,Leczna
POL,Termalica B-B.
POL,Arka Gdynia
POL,Warta Poznan
POL,Stal Mielec
POL,Gornik Zabrze
POL,Ruch Chorzow
POL,GKS Katowice
POL,Wieczysta Krakow
ROU,Petrolul
ROU,CFR Cluj
ROU,Bistrita
ROU,Viitorul Constanta
ROU,FCSB
ROU,FC Brasov
ROU,Din. Bucuresti
ROU,FC Botosani
ROU,U Craiova
ROU,FC Voluntari
ROU,Calarasi
ROU,UTA Arad
ROU,Univ. Craiova
ROU,Farul Constanta
ROU,U Craiova 1948
ROU,Csikszereda M. Ciuc
ROU,Dinamo Bucuresti
ROU,Corvinul
USA,Vancouver Whitecaps
USA,DC United
USA,FC Dallas
USA,Chivas USA
USA,Real Salt Lake
USA,Philadelphia Union
USA,Toronto FC
USA,Columbus Crew
USA,New England Revolution
USA,Chicago Fire
USA,Houston Dynamo
USA,Orlando City
USA,Atlanta Utd
USA,Los Angeles FC
USA,FC Cincinnati
USA,Nashville SC
USA,Austin FC
USA,Charlotte
USA,San Diego FC
CHN,Shandong Luneng
CHN,Guangzhou Evergrande
CHN,Beijing Guoan
CHN,Jiangsu Suning
CHN,Tianjin Jinmen Tiger
CHN,Dalian Yifang F.C.
